
romney plan gun control two parent household okay,0,0
romney totally confused causality say government doe not create job yet claim policy create job,0,-1
fucking hate mitt romney face mother fucker constantly got geeky smirk id love smack right,-1,1
romney plan immigrant make miserable beg self deport current,0,-1
romney said sat cross table people lost job thats fired current,0,0
romney confused hell answer gun control,-1,-1
everytime romney give little sarcastic smirk want go amp mortal kombat uppercut getoverhere flawlessvictory,-1,0
concerned gridlocked congress governor romney choose paul ryan running mate debate,1,1
absolutely love romney view immigration,1,1
mitt romney want talk helping middle classsmh,-1,-1
romney making totally go along green card stapled diploma huh,0,-1
dont worry mitt romney dont win election always get job new villain next james bond movie,0,0
romney basically said someone another country qualified job send and give job wow,-1,-1
im little confused romney actual view seems keep changing,1,1
romney really say wa good woman cabinet flexible schedule could go home and cook dinner dude,0,1
mitt beating record credibility character,-1,-1
already employment verification process placeits called everify romney damn liar,1,1
hope latino and latina sister and brother listening romney said immigration reform,-1,-1
military service mitt wouldnt know anything hidinginfranceduringvietnam bromce,-1,0
dont think mitt romney ha answered one question instead try complain something else obama irrelevant teamobama,-1,0
dare romney say go army refuse,-1,-1
obama win smirk and little girl smile romney win fact and acting presidential ocra tcot,1,0
romney digging grave latino vote least one realize immigrant keep going please sir,-1,-1
doe romney not know long take get green card,-1,0
mitt romney policy immigration suck though,0,0
romney looking desperate time and petulant could trust joker know poor and working hard,1,-1
actually like romney response immigration,-1,-1
immigration statement romney answered wa wa enough get vote,-1,-1
dude romney sad lol sad doesnt even sound like someone trusted,0,-1
im hard worker idgaf doe not make anything romney say right true nothing liar and not help u,0,-1
romney wrong immigration lying teeth,-1,-1
dude romney killing,0,0
permanent resident not citizenship romney admitted dream act clear difference two,-1,-1
would force innocent child brought u adult illegally military become citizen mitt romney crazy,0,1
mitt want make immigrant child serve military gain citizenship cant even handle debate really,1,1
hate romney,1,-1
romney great massachusetts population food stamp,0,-1
romney want foster brain drain attaching green card diploma around world wha debate,-1,-1
romney know contridicted doesnt,-1,-1
romney fucking annoying,1,1
mitt romney never answer question directly youd ask dude color sky hed reply ive always loved color,-1,-1
romney white man know dont answer fucking question instead tell life story whogivesafuck nobody,-1,1
romney lied many thing tonight even mediator correct smh,-1,1
randomly stopped homework watch debate angry romney fake,1,1
